POSITION,NAME,TOUCHDOWNS,INTERCEPTIONSTHROWN,YARDS,CARRIES,RECEPTIONS
RB,Brown.Donald,1,0,229,59,0
RB,Brown.Mack,0,0,0,0,0
RB,Brown.Malcolm,0,0,17,4,0
RB,Brown-Dukes.Brandon,0,0,0,0,0
RB,Burkhead.Rex,0,0,4,4,0
RB,Burks.Brandon,0,0,0,0,0
RB,Burton.Michael,0,0,2,4,0
RB,Cadet.Travaris,0,0,28,11,0
RB,Carey.Ka'Deem,2,0,159,43,0
RB,Carson.Tra,0,0,0,0,0
RB,Charles.Jamaal,4,0,364,71,0
RB,Cobb.David,1,0,146,52,0
RB,Coleman.Tevin,1,0,392,87,0
RB,Collins.Alex,0,0,0,0,0
RB,Coprich.Marshaun,0,0,0,0,0
RB,Crockett.John,0,0,21,9,0
RB,Crowell.Isaiah,4,0,706,185,0
RB,Cunningham.Benny,0,0,140,37,0
RB,Darkwa.Orleans,1,0,153,36,0
RB,Davis.Knile,1,0,72,28,0
RB,Davis.Mike,0,0,58,35,0
RB,Develin.James,0,0,0,0,0
RB,DiMarco.Patrick,0,0,0,1,0
RB,Dixon.Kenneth,0,0,0,0,0
RB,Drake.Kenyan,0,0,0,0,0
RB,Draughn.Shaun,1,0,273,78,0
RB,Dunbar.Lance,0,0,67,5,0
RB,Ellington.Andre,3,0,289,45,0
RB,Elliott.Ezekiel,0,0,0,0,0
RB,Ervin.Tyler,0,0,0,0,0
RB,Farrow.Kenneth,0,0,0,0,0
RB,Felton.Jerome,0,0,2,1,0
RB,Ferguson.Josh,0,0,0,0,0
RB,Fluellen.David,0,0,0,0,0
RB,Forsett.Justin,2,0,641,151,0
RB,Forte.Matt,4,0,898,218,0
RB,Foster.Arian,1,0,163,63,0
RB,Foster.D.J.,0,0,0,0,0
RB,Fowler.Jalston,1,0,13,7,0
RB,Freeman.Devonta,11,0,1,056,265,0
RB,Gaffney.Tyler,0,0,0,0,0
RB,Gaskins.Kendall,0,0,38,16,0
RB,Gillislee.Mike,3,0,267,47,0
RB,Gordon.Melvin,0,0,641,184,0
RB,Gore.Frank,6,0,967,260,0
